Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Miami,107.2,106.3,111.8,107.6,106.9,100.1
2,Utah,106.2,106.8,108.4,106.6,105.7,104.2
3,Dallas,105.9,109.1,105.9,106.5,105.3,102.7
4,Chicago,105.9,106.5,105.7,104.9,106.9,106.4
5,Atlanta,105.3,105.4,98.1,104.6,106.1,106.5
6,Washington,105.1,107.4,102.1,105.4,104.9,104.6
7,Portland,105.0,102.3,108.4,105.4,104.7,102.9
8,Memphis,104.9,104.1,105.2,104.9,105.0,106.9
9,Indiana,104.6,104.5,99.9,104.5,104.7,103.6
10,Minnesota,104.5,103.6,98.5,104.2,104.9,101.0
11,New Orleans,104.3,103.8,107.1,105.2,103.3,102.9
12,Orlando,104.2,108.9,108.0,103.6,104.7,99.4
13,Philadelphia,104.2,99.7,99.6,104.1,104.2,101.3
14,Detroit,103.9,102.7,108.0,105.0,102.8,103.8
15,Cleveland,103.7,102.2,105.2,103.4,104.0,103.2
16,San Antonio,103.5,104.0,99.6,102.9,104.1,102.8
17,Okla City,103.5,106.8,108.4,103.6,103.3,103.5
18,Golden State,103.3,101.2,96.3,102.7,103.9,101.7
19,Sacramento,103.1,101.8,104.7,103.5,102.6,102.3
20,Denver,102.9,108.9,108.4,102.3,103.5,103.5
21,Toronto,102.5,101.5,101.6,102.9,102.2,103.8
22,LA Lakers,101.8,102.9,105.9,102.7,101.0,100.8
23,Phoenix,101.3,106.7,105.7,100.2,102.4,100.9
24,Charlotte,101.1,99.6,98.5,100.7,101.6,101.4
25,Milwaukee,101.1,98.2,103.9,101.3,100.9,102.5
26,Brooklyn,100.9,102.0,102.1,101.2,100.6,100.3
27,New York,100.8,98.7,98.1,101.3,100.3,101.0
28,Houston,100.7,98.7,96.3,100.0,101.4,102.4
29,LA Clippers,100.3,100.5,104.7,100.0,100.6,100.8
30,Boston,98.6,100.1,101.6,98.5,98.6,99.3
